setting,q,threshold,n,k,p,accepted
large/ARC/C2C,0.35,6.139278411865234e-06,53,0,0.06597069817787209,False
large/ARC/C2C,0.4,2.0384788513183594e-05,61,1,0.18427919594780778,False
large/ARC/C2C,0.45,4.5418739318847656e-05,70,2,0.31373582530027155,False
large/ARC/C2C,0.5,0.0001138448715209961,71,3,0.522867572462193,False
large/ARC/C2C,0.55,0.0002034306526184082,75,3,0.47978747037363867,False
large/ARC/C2C,0.6,0.0003814101219177246,81,4,0.6188582145629733,False
large/ARC/C2C,0.65,0.0015012025833129883,89,6,0.842483533199483,False
large/ARC/C2C,0.7,0.0024728775024414062,90,6,0.8360550965659409,False
large/ARC/C2C,0.75,0.004070162773132324,93,7,0.905947571597939,False
large/ARC/C2C,0.8,0.014090418815612793,100,9,0.9718117058365838,False
large/ARC/C2C,0.85,0.025455057621002197,102,9,0.9682466522113584,False
large/ARC/C2C,0.9,0.09534949064254761,117,15,0.9997516235913733,False
large/ARC/C2C,0.95,0.26904088258743286,126,18,0.9999826857245959,False
large/ARC/C2C,1.0,Infinity,127,19,0.9999945969523547,False
large/MMLU-Pro/Text,0.05,3.5762786865234375e-07,215,7,0.1533408054219489,False
large/MMLU-Pro/Text,0.1,1.7881393432617188e-06,445,17,0.14980791484666162,False
large/MMLU-Pro/Text,0.15,7.987022399902344e-06,668,29,0.24874557776670814,False
large/MMLU-Pro/Text,0.2,2.753734588623047e-05,852,47,0.7823206012829828,False
large/MMLU-Pro/Text,0.25,9.083747863769531e-05,1076,74,0.997135988978936,False
large/MMLU-Pro/Text,0.3,0.00026172399520874023,1288,103,0.9999981718662713,False
large/MMLU-Pro/Text,0.35,0.0009109377861022949,1537,143,0.9999999999988629,False
large/MMLU-Pro/Text,0.4,0.002053201198577881,1780,182,1.0,False
large/MMLU-Pro/Text,0.45,0.004699349403381348,2028,238,1.0,False
large/MMLU-Pro/Text,0.5,0.00924915075302124,2251,302,1.0,False
large/MMLU-Pro/Text,0.55,0.01811206340789795,2481,370,1.0,False
large/MMLU-Pro/Text,0.6,0.031062960624694824,2689,428,1.0,False
large/MMLU-Pro/Text,0.65,0.05361706018447876,2909,513,1.0,False
large/MMLU-Pro/Text,0.7,0.08482193946838379,3133,583,1.0,False
