group,split,pair,benchmark,path,n_outputs,n_parse_differs,n_rerun_V2_ne_stored,label
replay: E7 (ClusterA),panel (replay),large,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,obqa,reuse:R,194,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),large,obqa,reuse:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,arc,argmax:ref,51,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,arc,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,arc,policy:R,77,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,arc,policy:ref,51,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,arc,reuse:R,77,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,arc,reuse:ref,51,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,obqa,argmax:ref,67,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,obqa,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,obqa,policy:R,66,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,obqa,reuse:R,66,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: E7 (ClusterA),panel (replay),medium,obqa,reuse:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original MMLU-Pro (ClusterB),panel (replay),large,mmlu_pro,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original MMLU-Pro (ClusterB),panel (replay),large,mmlu_pro,policy:R,96,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original MMLU-Pro (ClusterB),panel (replay),large,mmlu_pro,policy:ref,160,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original large (ClusterB),panel (replay),large,arc,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original large (ClusterB),panel (replay),large,arc,policy:R,235,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original large (ClusterB),panel (replay),large,arc,policy:ref,21,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original large (ClusterB),panel (replay),large,obqa,fixed:ref,256,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original large (ClusterB),panel (replay),large,obqa,policy:R,194,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original large (ClusterB),panel (replay),large,obqa,policy:ref,62,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original medium (ClusterB),panel (replay),medium,arc,fixed:ref,128,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original medium (ClusterB),panel (replay),medium,arc,policy:R,77,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
replay: original medium (ClusterB),panel (replay),medium,arc,policy:ref,51,0,0,POST-HOC re-analysis (reviewer R5/E13); does not change any primary decision
