pair,dataset,family,fold,action,scope,predictor,n,positive,positive_rate,ROC_AUC,AP,log_loss,NA_reason
large,obqa,semantic,4,C,all,FFR_E0,693,61,0.08802308802308802,0.49131043785017636,0.11904819626643712,0.3004201564318602,
large,obqa,semantic,4,C,all,constant_flip_rate,693,61,0.08802308802308802,0.5,0.08802308802308802,0.29821750284142556,
large,obqa,semantic,4,C,both_R_and_action_valid_diagnostic_only,FFR_E0,689,57,0.08272859216255443,0.48403841883188986,0.11548636566334593,0.2880142550990615,
large,obqa,semantic,4,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,689,57,0.08272859216255443,0.5,0.08272859216255443,0.2853935112971465,
large,obqa,semantic,4,A,all,FFR_E0,693,11,0.015873015873015872,0.44868035190615835,0.01911941366581244,0.08383946001530097,
large,obqa,semantic,4,A,all,constant_flip_rate,693,11,0.015873015873015872,0.5,0.015873015873015872,0.08315055008664878,
large,obqa,semantic,4,A,both_R_and_action_valid_diagnostic_only,FFR_E0,686,5,0.007288629737609329,0.5715124816446402,0.016251097965183814,0.043150738973778226,
large,obqa,semantic,4,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,686,5,0.007288629737609329,0.5,0.007288629737609329,0.04347297036893738,
large,arc,word,pooled,T,all,FFR_E0,1119,44,0.03932082216264522,0.4335306553911205,0.0336839983303298,0.1676467126280331,
large,arc,word,pooled,T,all,constant_flip_rate,1119,44,0.03932082216264522,0.4292283298097252,0.03383562356056825,0.16645763819418113,
large,arc,word,pooled,T,both_R_and_action_valid_diagnostic_only,FFR_E0,1119,44,0.03932082216264522,0.4335306553911205,0.0336839983303298,0.1676467126280331,
large,arc,word,pooled,T,both_R_and_action_valid_diagnostic_only,constant_flip_rate,1119,44,0.03932082216264522,0.4292283298097252,0.03383562356056825,0.16645763819418113,
large,arc,word,pooled,C,all,FFR_E0,1119,52,0.04647006255585344,0.4179403071155649,0.03895585086082521,0.19079336865828514,
large,arc,word,pooled,C,all,constant_flip_rate,1119,52,0.04647006255585344,0.43530567370773554,0.04103735382370412,0.18880570918177578,
large,arc,word,pooled,C,both_R_and_action_valid_diagnostic_only,FFR_E0,1116,49,0.04390681003584229,0.4221639921198095,0.036913218933231115,0.18276584884411354,
large,arc,word,pooled,C,both_R_and_action_valid_diagnostic_only,constant_flip_rate,1116,49,0.04390681003584229,0.4316030067134632,0.03874727926311511,0.1811092948234533,
large,arc,word,pooled,A,all,FFR_E0,1119,8,0.0071492403932082215,0.20803330333033304,0.004754737693192195,0.04438254816575621,
large,arc,word,pooled,A,all,constant_flip_rate,1119,8,0.0071492403932082215,0.27362736273627364,0.005437095115219701,0.044088284716002644,
large,arc,word,pooled,A,both_R_and_action_valid_diagnostic_only,FFR_E0,1116,5,0.004480286738351254,0.2100810081008101,0.0032081893001783724,0.030342026462632544,
large,arc,word,pooled,A,both_R_and_action_valid_diagnostic_only,constant_flip_rate,1116,5,0.004480286738351254,0.2784878487848785,0.0034329040372216993,0.0301638156932594,
large,arc,word,0,T,all,FFR_E0,224,12,0.05357142857142857,0.5326257861635221,0.06609676618313744,0.21358065518499098,
large,arc,word,0,T,all,constant_flip_rate,224,12,0.05357142857142857,0.5,0.05357142857142857,0.21290967656376855,
