pair,dataset,family,fold,action,validity_scope,n,flip_count,flip_rate,gain_count,harm_count,zero_gain_flip_count,R_accuracy,action_accuracy
large,arc,word,1,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,1,A,action_invalid_only,1,1,1.0,0,0,1,0.0,0.0
large,arc,word,1,A,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,word,2,T,all,224,10,0.044642857142857144,5,5,0,0.9151785714285714,0.9151785714285714
large,arc,word,2,T,both_valid,224,10,0.044642857142857144,5,5,0,0.9151785714285714,0.9151785714285714
large,arc,word,2,T,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,2,T,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,2,T,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,word,2,C,all,224,9,0.04017857142857143,1,4,4,0.9151785714285714,0.9017857142857143
large,arc,word,2,C,both_valid,224,9,0.04017857142857143,1,4,4,0.9151785714285714,0.9017857142857143
large,arc,word,2,C,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,2,C,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,2,C,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,word,2,A,all,224,1,0.004464285714285714,0,1,0,0.9151785714285714,0.9107142857142857
large,arc,word,2,A,both_valid,224,1,0.004464285714285714,0,1,0,0.9151785714285714,0.9107142857142857
large,arc,word,2,A,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,2,A,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,2,A,both_invalid,0,0,NA,0,0,0,NA,NA
large,arc,word,3,T,all,224,9,0.04017857142857143,5,3,1,0.8883928571428571,0.8973214285714286
large,arc,word,3,T,both_valid,224,9,0.04017857142857143,5,3,1,0.8883928571428571,0.8973214285714286
large,arc,word,3,T,R_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,3,T,action_invalid_only,0,0,NA,0,0,0,NA,NA
large,arc,word,3,T,both_invalid,0,0,NA,0,0,0,NA,NA
