pair,dataset,reference,split,q,selected,cal_accepted,N,n_R,coverage,changed,conditional_risk,marginal_change,correct,accuracy,reference_correct,accuracy_diff_reference,best_fixed_correct,accuracy_diff_best_fixed,benefit,harm,neutral_change,risk_CP95_low,risk_CP95_high,identity
large,obqa,T,fit,0.05,False,True,2100,1049,0.49952380952380954,3,0.002859866539561487,0.0014285714285714286,1799,0.8566666666666667,1800,-0.0004761904761904762,1800,-0.0004761904761904079,1,2,0,0.0005901619878743287,0.008334796256223768,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.2,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.25,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.3,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.35,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.4,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.45,False,True,1366,642,0.4699853587115666,2,0.003115264797507788,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.0003774959293138173,0.011207709624215507,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.5,False,True,1366,683,0.5,2,0.0029282576866764276,0.0014641288433382138,1083,0.7928257686676428,1081,0.0014641288433382138,1178,-0.0695461200585652,2,0,0,0.00035482252832322217,0.010537492475189248,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.55,False,True,1366,728,0.5329428989751098,3,0.004120879120879121,0.0021961932650073207,1084,0.7935578330893118,1081,0.0021961932650073207,1178,-0.06881405563689613,3,0,0,0.0008506319185566524,0.011995337266857658,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.6,False,True,1366,807,0.5907759882869692,4,0.004956629491945477,0.0029282576866764276,1085,0.794289897510981,1081,0.0029282576866764276,1178,-0.06808199121522696,4,0,0,0.0013521162916434737,0.012641934374088986,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.65,False,True,1366,870,0.636896046852123,4,0.004597701149425287,0.0029282576866764276,1085,0.794289897510981,1081,0.0029282576866764276,1178,-0.06808199121522696,4,0,0,0.001254096639781857,0.011729771186386517,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.7,False,True,1366,932,0.6822840409956076,8,0.008583690987124463,0.005856515373352855,1089,0.7972181551976574,1081,0.005856515373352855,1178,-0.06515373352855058,8,0,0,0.003712903450860046,0.01684290978461933,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.75,False,True,1366,999,0.7313323572474377,13,0.013013013013013013,0.00951683748169839,1092,0.7994143484626647,1081,0.008052708638360176,1178,-0.06295754026354328,12,1,0,0.006946581858215566,0.02214985079708061,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.8,True,True,1366,1064,0.7789165446559297,22,0.020676691729323307,0.016105417276720352,1093,0.8001464128843339,1081,0.008784773060029283,1178,-0.0622254758418741,16,4,2,0.013002232478636603,0.031138180891691188,predeclared descriptive curve; no dev selection
large,obqa,C,cal,0.85,False,False,1366,1135,0.8308931185944363,37,0.03259911894273128,0.027086383601756955,1100,0.8052708638360175,1081,0.013909224011713031,1178,-0.05710102489019042,26,7,4,0.02305454659166141,0.04465544194007096,predeclared descriptive curve; no dev selection
