name,B,repeat,subset_file,family,q,threshold,N,n_R,changed,conditional_risk,p_value,CP_upper_0_999,accepted,coverage,marginal_change,M,source_identity
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.15,0.1585294530378002,1366,196,0,0.0,4.3035478547683404e-05,0.03462982424663757,True,0.14348462664714495,0.0,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.2,0.16135752398830117,1366,254,2,0.007874015748031496,0.00022709464936884185,0.0434132263138356,True,0.18594436310395315,0.0014641288433382138,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.25,0.16362099458607215,1366,314,4,0.012738853503184714,0.00039954595287352445,0.04631212220642809,True,0.22986822840409957,0.0029282576866764276,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.3,0.16642904990119112,1366,386,5,0.012953367875647668,9.246726906045766e-05,0.04200066270990393,True,0.28257686676427524,0.0036603221083455345,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.35,0.16876444410963531,1366,448,7,0.015625,0.00011233274657764715,0.04319459417926613,True,0.3279648609077599,0.005124450951683748,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.4,0.1709444465192944,1366,525,11,0.02095238095238095,0.000529605353947556,0.04806714929557068,True,0.38433382137628114,0.008052708638360176,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.45,0.17303653870639124,1366,588,14,0.023809523809523808,0.0010295721026820047,0.050085829200253514,False,0.43045387994143486,0.010248901903367497,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.5,0.174854878608676,1366,643,16,0.024883359253499222,0.0010298414124563621,0.05008242603427183,False,0.4707174231332357,0.01171303074670571,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.55,0.17729884879859958,1366,714,25,0.0350140056022409,0.03480630795528362,0.06165643603003692,False,0.5226939970717424,0.018301610541727673,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.6,0.18010783543173237,1366,787,32,0.04066073697585769,0.12962361463248684,0.06720639159592603,False,0.5761346998535871,0.02342606149341142,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.65,0.1822511638990323,1366,854,39,0.04566744730679157,0.3139782731641474,0.07208660441613288,False,0.6251830161054173,0.02855051244509517,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.7,0.18452923954275613,1366,918,46,0.05010893246187364,0.5451418125453948,0.07634687409766269,False,0.6720351390922401,0.03367496339677892,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.75,0.18693495220446843,1366,998,58,0.05811623246492986,0.8922384154146954,0.08458744930773686,False,0.7306002928257687,0.0424597364568082,100,new_test
R512_r3,512,3,subsets/R512_r3.json,R512_r3,0.8,0.18973530873730504,1366,1077,72,0.06685236768802229,0.9938307110363848,0.09361688790135744,False,0.7884333821376281,0.0527086383601757,100,new_test
