pair,dataset,family,fold,action,fit_gain,fit_harm,fit_flips,fit_zero_gain_flips,delta_shrunk,fit_flip_rate,heldout_flips,heldout_gain,heldout_harm,heldout_zero_gain_flips,heldout_signed_gain_per_flip_DIAGNOSTIC,fit_panel_n,c_ref_ms,cost_proxy_ms
large,obqa,semantic,3,C,60,114,227,53,-0.23580786026200873,0.08186080057699242,60,14,30,16,-0.26666666666666666,208,251.78001504807693,336.5149266730772
large,obqa,semantic,3,A,11,9,34,14,0.05555555555555555,0.012261089073205915,4,1,1,2,0.0,208,251.78001504807693,284.3780069423077
large,obqa,semantic,4,T,171,51,264,42,0.45112781954887216,0.09520375045077534,82,48,20,14,0.34146341463414637,202,253.0488131782179,962.9486578762378
large,obqa,semantic,4,C,58,114,226,54,-0.24561403508771928,0.08150018031013342,61,16,30,15,-0.22950819672131148,202,253.0488131782179,326.6106963811882
large,obqa,semantic,4,A,10,6,27,11,0.13793103448275862,0.009736747205192933,11,2,4,5,-0.18181818181818182,202,253.0488131782179,286.167261559406
large,arc,word,0,T,21,9,32,2,0.35294117647058826,0.035754189944134075,12,7,4,1,0.25,204,266.4753135294118,1028.6356951274506
large,arc,word,0,C,13,20,43,10,-0.15555555555555556,0.048044692737430165,9,3,4,2,-0.1111111111111111,204,266.4753135294118,430.11649181862765
large,arc,word,0,A,1,2,6,3,-0.125,0.0067039106145251395,2,0,2,0,-1.0,204,266.4753135294118,308.7584964803922
large,arc,word,1,T,23,13,38,2,0.25,0.042458100558659215,6,5,0,1,0.8333333333333334,212,267.35789088679246,1036.0068702311319
large,arc,word,1,C,12,22,44,10,-0.21739130434782608,0.049162011173184354,8,4,2,2,0.25,212,267.35789088679246,428.9610099198115
large,arc,word,1,A,1,4,7,2,-0.3333333333333333,0.00782122905027933,1,0,0,1,0.0,212,267.35789088679246,309.60408976415084
large,arc,word,2,T,23,8,34,3,0.4166666666666667,0.03798882681564246,10,5,5,0,0.0,207,267.45587863768117,1024.1591740289855
large,arc,word,2,C,15,20,43,8,-0.1111111111111111,0.048044692737430165,9,1,4,4,-0.3333333333333333,207,267.45587863768117,429.666449594203
large,arc,word,2,A,1,3,7,3,-0.2222222222222222,0.00782122905027933,1,0,1,0,-1.0,207,267.45587863768117,308.949050468599
large,arc,word,3,T,23,10,35,2,0.35135135135135137,0.03910614525139665,9,5,3,1,0.2222222222222222,195,266.9697316769231,1019.6377727846154
large,arc,word,3,C,10,18,37,9,-0.20512820512820512,0.041340782122905026,15,6,6,3,0.0,195,266.9697316769231,419.8402246153849
large,arc,word,3,A,0,3,4,1,-0.5,0.004469273743016759,4,1,1,2,0.0,195,266.9697316769231,298.0958717025642
large,arc,word,4,T,22,12,37,3,0.2564102564102564,0.041294642857142856,7,6,1,0,0.7142857142857143,206,266.42719099514574,1029.2916179805827
large,arc,word,4,C,14,16,41,11,-0.046511627906976744,0.04575892857142857,11,2,8,1,-0.5454545454545454,206,266.42719099514574,417.952242446602
large,arc,word,4,A,1,4,8,3,-0.3,0.008928571428571428,0,0,0,0,NA,206,266.42719099514574,308.8783718786408
large,arc,semantic,0,T,21,9,32,2,0.35294117647058826,0.035754189944134075,12,7,4,1,0.25,204,266.4753135294118,1028.6356951274506
large,arc,semantic,0,C,13,20,43,10,-0.15555555555555556,0.048044692737430165,9,3,4,2,-0.1111111111111111,204,266.4753135294118,430.11649181862765
large,arc,semantic,0,A,1,2,6,3,-0.125,0.0067039106145251395,2,0,2,0,-1.0,204,266.4753135294118,308.7584964803922
large,arc,semantic,1,T,23,13,38,2,0.25,0.042458100558659215,6,5,0,1,0.8333333333333334,212,267.35789088679246,1036.0068702311319
large,arc,semantic,1,C,12,22,44,10,-0.21739130434782608,0.049162011173184354,8,4,2,2,0.25,212,267.35789088679246,428.9610099198115
large,arc,semantic,1,A,1,4,7,2,-0.3333333333333333,0.00782122905027933,1,0,0,1,0.0,212,267.35789088679246,309.60408976415084
large,arc,semantic,2,T,23,8,34,3,0.4166666666666667,0.03798882681564246,10,5,5,0,0.0,207,267.45587863768117,1024.1591740289855
large,arc,semantic,2,C,15,20,43,8,-0.1111111111111111,0.048044692737430165,9,1,4,4,-0.3333333333333333,207,267.45587863768117,429.666449594203
large,arc,semantic,2,A,1,3,7,3,-0.2222222222222222,0.00782122905027933,1,0,1,0,-1.0,207,267.45587863768117,308.949050468599
large,arc,semantic,3,T,23,10,35,2,0.35135135135135137,0.03910614525139665,9,5,3,1,0.2222222222222222,195,266.9697316769231,1019.6377727846154
large,arc,semantic,3,C,10,18,37,9,-0.20512820512820512,0.041340782122905026,15,6,6,3,0.0,195,266.9697316769231,419.8402246153849
large,arc,semantic,3,A,0,3,4,1,-0.5,0.004469273743016759,4,1,1,2,0.0,195,266.9697316769231,298.0958717025642
large,arc,semantic,4,T,22,12,37,3,0.2564102564102564,0.041294642857142856,7,6,1,0,0.7142857142857143,206,266.42719099514574,1029.2916179805827
large,arc,semantic,4,C,14,16,41,11,-0.046511627906976744,0.04575892857142857,11,2,8,1,-0.5454545454545454,206,266.42719099514574,417.952242446602
large,arc,semantic,4,A,1,4,8,3,-0.3,0.008928571428571428,0,0,0,0,NA,206,266.42719099514574,308.8783718786408
small,obqa,word,0,T,508,292,1252,452,0.1722488038277512,0.45165945165945165,323,124,93,106,0.09597523219814241,202,313.81514707425737,865.9950805099006
