split,family,q,threshold,cal_accepted,final_deployment,N,n_R,coverage,changed,conditional_risk,marginal_change,benefit,harm,neutral_change,correct,accuracy,accuracy_diff_Text,INVALID_selected,routed_both_INVALID,routed_R_only_INVALID,routed_Text_only_INVALID,routed_both_valid,risk_CP95_descriptive_low,risk_CP95_descriptive_high,mean_cost_ms,median_cost_ms,p95_cost_ms,net_saving_vs_Text_ms,net_saving_vs_Text_fraction,U,random_expected_changes,random_hypergeom95_low,random_hypergeom95_high
cal,H,0.4,0.05797360744743901,False,False,1366,531,0.38872620790629575,14,0.026365348399246705,0.010248901903367497,0,13,1,1165,0.8528550512445096,-0.00951683748169839,0,0,0,0,531,0.014487495216176313,0.04384121111686944,,,,,,,,,
cal,H,0.45,0.05916083866108548,False,False,1366,575,0.42093704245973645,16,0.02782608695652174,0.01171303074670571,1,14,1,1165,0.8528550512445096,-0.00951683748169839,0,0,0,0,575,0.015986860751139337,0.04479525882773314,,,,,,,,,
cal,H,0.5,0.06054404428993229,False,False,1366,640,0.4685212298682284,18,0.028125,0.013177159590043924,2,14,2,1166,0.8535871156661786,-0.008784773060029283,0,0,0,0,640,0.01675200629810032,0.04408638286600256,,,,,,,,,
cal,H,0.55,0.06213846426496155,False,False,1366,709,0.5190336749633968,23,0.03244005641748942,0.01683748169838946,2,16,5,1164,0.8521229868228404,-0.010248901903367497,0,0,0,0,709,0.020673126729157987,0.048279954698930434,,,,,,,,,
cal,H,0.6,0.06369634690047259,False,False,1366,782,0.5724743777452416,32,0.04092071611253197,0.02342606149341142,4,23,5,1159,0.8484626647144948,-0.013909224011713031,0,0,0,0,782,0.028155229808916833,0.05727917890962809,,,,,,,,,
cal,H,0.65,0.06522160496562059,False,False,1366,846,0.6193265007320644,39,0.04609929078014184,0.02855051244509517,4,30,5,1152,0.8433382137628112,-0.01903367496339678,0,0,0,0,846,0.03298328190780114,0.06248316950011707,,,,,,,,,
cal,H,0.7,0.06693927405430387,False,False,1366,916,0.6705710102489019,42,0.04585152838427948,0.03074670571010249,5,32,5,1151,0.842606149341142,-0.019765739385065886,0,0,0,0,916,0.033242429284195456,0.06147534036176933,,,,,,,,,
cal,H,0.75,0.06869357264583029,False,False,1366,1002,0.7335285505124451,52,0.05189620758483034,0.03806734992679356,7,38,7,1147,0.8396778916544656,-0.022693997071742314,0,0,0,0,1002,0.0389980502107311,0.06750112997351103,,,,,,,,,
cal,H,0.8,0.07021375331710436,False,False,1366,1075,0.7869692532942899,73,0.06790697674418604,0.053440702781844804,12,49,12,1141,0.835285505124451,-0.027086383601756955,0,0,0,0,1075,0.05360250686612888,0.08462858168081105,,,,,,,,,
cal,H,0.85,0.07239492941810417,False,False,1366,1134,0.8301610541727672,85,0.07495590828924162,0.06222547584187409,16,56,13,1138,0.8330893118594437,-0.029282576866764276,0,0,0,0,1134,0.06030788886580875,0.09185212183138614,,,,,,,,,
cal,H,0.9,0.07497978205849046,False,False,1366,1215,0.8894582723279648,101,0.0831275720164609,0.0739385065885798,17,66,18,1129,0.8265007320644217,-0.03587115666178624,0,0,0,0,1215,0.0682164341287219,0.10009112343177312,,,,,,,,,
cal,H,0.95,0.07908576259385748,False,False,1366,1281,0.9377745241581259,113,0.08821233411397346,0.08272327964860908,20,71,22,1127,0.8250366032210834,-0.03733528550512445,1,0,1,0,1280,0.073250409275659,0.10509401650167931,,,,,,,,,
